reaction,reaction,metabolite,global_id,flux
EX_3mop_m,EX_3mop_m,3mop_m,EX_3mop(e),0.1
EX_q8_m,EX_q8_m,q8_m,EX_q8(e),0.1
EX_alahis_m,EX_alahis_m,alahis_m,EX_alahis(e),0.0009524199999999
EX_no3_m,EX_no3_m,no3_m,EX_no3(e),0.3552624279829062
EX_glyphe_m,EX_glyphe_m,glyphe_m,EX_glyphe(e),0.0020477
EX_glytyr_m,EX_glytyr_m,glytyr_m,EX_glytyr(e),0.0031481
EX_glcn_m,EX_glcn_m,glcn_m,EX_glcn(e),0.1682520270000004
EX_hdca_m,EX_hdca_m,hdca_m,EX_hdca(e),0.0396371
EX_arab_D_m,EX_arab_D_m,arab_D_m,EX_arab_D(e),0.1
EX_dcyt_m,EX_dcyt_m,dcyt_m,EX_dcyt(e),0.1355652042079201
EX_ncam_m,EX_ncam_m,ncam_m,EX_ncam(e),0.1
EX_meoh_m,EX_meoh_m,meoh_m,EX_meoh(e),10.0
EX_glyleu_m,EX_glyleu_m,glyleu_m,EX_glyleu(e),1.0079465375000034
EX_co2_m,EX_co2_m,co2_m,EX_co2(e),0.8774886445000012
EX_glygn2_m,EX_glygn2_m,glygn2_m,EX_glygn2(e),0.0410961121790124
EX_gsn_m,EX_gsn_m,gsn_m,EX_gsn(e),0.1
EX_lanost_m,EX_lanost_m,lanost_m,EX_lanost(e),0.1
EX_acnam_m,EX_acnam_m,acnam_m,EX_acnam(e),0.1
EX_sel_m,EX_sel_m,sel_m,EX_sel(e),0.1
EX_chor_m,EX_chor_m,chor_m,EX_chor(e),2.1220807733333307
EX_dad_2_m,EX_dad_2_m,dad_2_m,EX_dad_2(e),0.1
EX_uri_m,EX_uri_m,uri_m,EX_uri(e),0.1
EX_glymet_m,EX_glymet_m,glymet_m,EX_glymet(e),0.001308965
EX_alathr_m,EX_alathr_m,alathr_m,EX_alathr(e),0.1176445192500001
EX_etoh_m,EX_etoh_m,etoh_m,EX_etoh(e),0.0900219149999999
EX_mal_L_m,EX_mal_L_m,mal_L_m,EX_mal_L(e),0.7244103485606053
EX_fuc_L_m,EX_fuc_L_m,fuc_L_m,EX_fuc_L(e),0.1273061955999999
