sample_id,,Akkermansia,Anaerostipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Collinsella,Coprococcus,Faecalibacterium,Gemmiger,Lachnospira,Parabacteroides,Roseburia,Ruminococcus,Succinivibrio,__
Blank_9_2,4.234378576,4.806591897,0.0,17.05195697,2.97550927,4.875257496,1.338979171,0.0,5.550469215,5.493247883,0.0,1.052872511,3.7422751200000004,0.0,7.64476997,0.0,5.367360952
Blank_9_3,3.980874013,5.504281108,0.0,18.636717446,2.424107639,4.681418881,1.523407094,0.0,5.871233181,4.403424886,0.0,1.356610697,4.1254308900000005,0.0,6.9832091620000005,0.0,5.34860447
FOS_10_1,0.556202302,0.0,0.0,33.242788773,6.700297504,9.597723451,0.0,0.0,6.777907127,3.156124693,0.0,0.0,3.492433061,9.481309016,0.064674686,0.0,0.40098305500000003
FOS_10_2,0.473142221,0.0,0.0,34.873364875,6.498747565,8.975786251,0.027831895,0.0,6.248260507,2.838853326,0.0,0.0,3.5903145,7.403284164,0.097411634,0.0,0.5844698020000001
FOS_10_3,0.42345276899999995,0.0,0.0,34.739413683,7.068403909,9.576547231,0.0,0.0,5.993485342,2.850162866,0.0,0.0,3.550488599,9.283387622,0.0,0.0,0.586319218
FOS_1_1,2.1321961629999997,0.426439232,0.298507463,27.860696517,0.383795309,5.330490405,3.127221038,3.937455579,5.444207534,6.808813077,1.32196162,0.966595593,1.620469083,12.46624023,5.202558636,0.0,2.487562189
FOS_1_2,2.290529314,0.593401377,0.201756468,25.979112275,0.344172798,6.183242345,3.382387847,3.216235462,5.993353905,6.930928079,1.198670781,0.700213624,1.649655827,12.76999763,4.759079041,0.0,2.978874911
FOS_1_3,2.199378437,0.765001195,0.167344011,27.014104705,0.322734879,5.199617499,3.155629931,3.980396844,5.510399235,6.693760459,1.243126942,0.765001195,1.75711212,12.34759742,4.542194597,0.0,2.593832178
FOS_2_1,2.5100793340000003,0.05202237,0.091039147,18.363896478,7.309142932,7.036025491,8.687735726,2.783196775,6.320717909,10.586552217,1.872805306,0.871374691,2.718168813,8.180517623,1.833788529,0.0,2.314995448
FOS_2_2,3.007422574,0.063987714,0.140772972,18.287688767,7.2690043509999995,7.48656258,9.444586639,2.636293832,6.437164064,10.839518812000001,1.510110059,0.793447658,2.969029947,6.321986179,1.6252879450000002,0.0,2.393140517
FOS_2_3,2.9106029099999997,0.057750058,0.15015015,17.313467314,7.842457843,7.657657658,8.292908293,2.517902518,6.93000693,11.353661353,1.593901594,0.993300993,2.7835527840000003,7.161007161,1.617001617,0.0,2.263802264
FOS_3_1,4.887014813,1.816412585,0.075683858,24.316142284,1.97859228,10.37950049,2.32457563,0.0,6.746675316,3.0922261859999995,2.497567305,0.075683858,2.421883447,2.346199589,10.195696832000001,0.0,1.3298735000000002
